Symbols,Price,IsUptrend,AboveMA,Yearly_Profit_20%,Quarterly_Profit_Growth,Revenue_Growth,EPS_Growth,Symptoms_Count
CPK,118.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CPNG,22.73,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2
CQP,51.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CR,152.53,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CRBG,29.09,TRUE,TRUE,FALSE,q_no_gp,FALSE,FALSE,2
CRGY,13.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CRH,93.06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CRK,15.48,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CSV,40.22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CTBB,17.28,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
CTDD,17.45,TRUE,TRUE,y_empty,q_no_gp,cant_fetch,cant_fetch,2
CTO,19.42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CTS,52.83,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CTVA,56.16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CUK,22.83,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CUZ,29.83,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CVLG,54,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CVNA,222.98,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CWK,12.95,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
CXM,9.15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2
DAL,60.38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DAO,7.07,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DAY,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
DB,17.12,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
DBD,43.51,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
DCO,61.22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
